Round:124; max power:5003.58; sample size:152; Alpha:179
Round:125; max power:5101.49; sample size:152; Alpha:179
Round:126; max power:5035.98; sample size:152; Alpha:121
Round:127; max power:5054.58; sample size:152; Alpha:359
Round:128; max power:4854.15; sample size:152; Alpha:359
Round:129; max power:4854.1; sample size:152; Alpha:359
Round:130; max power:4542.38; sample size:152; Alpha:359
Round:131; max power:4444.94; sample size:152; Alpha:359
Round:132; max power:4187.17; sample size:152; Alpha:359
Round:133; max power:4129.8; sample size:152; Alpha:359
Round:134; max power:3981.49; sample size:152; Alpha:359
Round:135; max power:3960.03; sample size:152; Alpha:358
Round:136; max power:3893.23; sample size:152; Alpha:179
Round:137; max power:3855.68; sample size:152; Alpha:179
Round:138; max power:3791.34; sample size:152; Alpha:179
Round:139; max power:3755.08; sample size:152; Alpha:359
Round:140; max power:3729.97; sample size:152; Alpha:359
Round:141; max power:3779.27; sample size:152; Alpha:0
Round:142; max power:3614.59; sample size:152; Alpha:0
Round:143; max power:3655.14; sample size:152; Alpha:359
Round:144; max power:3753.87; sample size:152; Alpha:359
Round:145; max power:3833.63; sample size:152; Alpha:359
Round:146; max power:3903.45; sample size:152; Alpha:359
Round:147; max power:3948.04; sample size:152; Alpha:359
Round:148; max power:4014.31; sample size:152; Alpha:359
Round:149; max power:4055.39; sample size:152; Alpha:359
Round:150; max power:4076.48; sample size:152; Alpha:357
Round:151; max power:4089.59; sample size:152; Alpha:355
Round:152; max power:4267.95; sample size:152; Alpha:180
Round:153; max power:4992.4; sample size:152; Alpha:180
Round:154; max power:5587.25; sample size:152; Alpha:2
Round:155; max power:5508.29; sample size:152; Alpha:0
Round:156; max power:5768.86; sample size:152; Alpha:234
Round:157; max power:6279.06; sample size:152; Alpha:181
Round:158; max power:6687.92; sample size:152; Alpha:359
Round:159; max power:7021.32; sample size:152; Alpha:1
Round:160; max power:7338.27; sample size:152; Alpha:2
Round:161; max power:7549.98; sample size:152; Alpha:158
Round:162; max power:7786.78; sample size:152; Alpha:178
Round:163; max power:7767.21; sample size:152; Alpha:179
Round:164; max power:6849.65; sample size:152; Alpha:179
Round:165; max power:6202.72; sample size:152; Alpha:179
Round:166; max power:6133.72; sample size:152; Alpha:179
Round:167; max power:5847.83; sample size:152; Alpha:179
Round:168; max power:5044.45; sample size:152; Alpha:179
Round:169; max power:4799.62; sample size:152; Alpha:179
Round:170; max power:4569.67; sample size:152; Alpha:179
Round:171; max power:4209.13; sample size:152; Alpha:179
Round:172; max power:4077.19; sample size:152; Alpha:179
Round:173; max power:3824.64; sample size:152; Alpha:179
Round:174; max power:3727.79; sample size:152; Alpha:179
Round:175; max power:3531.58; sample size:152; Alpha:179
Round:176; max power:3478.56; sample size:152; Alpha:179
Round:177; max power:3513.45; sample size:152; Alpha:179
Round:178; max power:3683.76; sample size:152; Alpha:179
Round:179; max power:3927.48; sample size:152; Alpha:179
Round:180; max power:4194.03; sample size:152; Alpha:179
Round:181; max power:4429.03; sample size:152; Alpha:179
Round:182; max power:4586.84; sample size:152; Alpha:179
Round:183; max power:4677.76; sample size:152; Alpha:179
Round:184; max power:4776.45; sample size:152; Alpha:179
Round:185; max power:4888.02; sample size:152; Alpha:179
Round:186; max power:5121.6; sample size:152; Alpha:179
Round:187; max power:5310.02; sample size:152; Alpha:179
Round:188; max power:5548.1; sample size:152; Alpha:179
Round:189; max power:5683.19; sample size:152; Alpha:179
Round:190; max power:5848.41; sample size:152; Alpha:179
Round:191; max power:6051.87; sample size:152; Alpha:179
Round:192; max power:6041.24; sample size:152; Alpha:179
Round:193; max power:6168.83; sample size:152; Alpha:179
Round:194; max power:6965.44; sample size:152; Alpha:179
Round:195; max power:7929.62; sample size:152; Alpha:179
Round:196; max power:8575.33; sample size:152; Alpha:179
Round:197; max power:9587.23; sample size:152; Alpha:179
Round:198; max power:10313.3; sample size:152; Alpha:179
Round:199; max power:10741.4; sample size:152; Alpha:179
Round:200; max power:11360; sample size:152; Alpha:180
Round:201; max power:11861.3; sample size:152; Alpha:183
Round:202; max power:12099.3; sample size:152; Alpha:221
Round:203; max power:12440.4; sample size:152; Alpha:328
Round:204; max power:12412.9; sample size:152; Alpha:43
Round:205; max power:12364.3; sample size:152; Alpha:25
Round:206; max power:11507.5; sample size:152; Alpha:0
Round:207; max power:10654.8; sample size:152; Alpha:27
Round:208; max power:10066.9; sample size:152; Alpha:38
Round:209; max power:9470.6; sample size:152; Alpha:0
Round:210; max power:8548.49; sample size:152; Alpha:0
Round:211; max power:8348.97; sample size:152; Alpha:190
Round:212; max power:7941.06; sample size:152; Alpha:5
Round:213; max power:7517.7; sample size:152; Alpha:326
Round:214; max power:7305.31; sample size:152; Alpha:161
Round:215; max power:7489.24; sample size:152; Alpha:258
Round:216; max power:7749.64; sample size:152; Alpha:150
Round:217; max power:7955.28; sample size:152; Alpha:155
Round:218; max power:7911.89; sample size:152; Alpha:155
Round:219; max power:7649.97; sample size:152; Alpha:326
Round:220; max power:7462.55; sample size:152; Alpha:27
Round:221; max power:7243.61; sample size:152; Alpha:173
Round:222; max power:7042.15; sample size:152; Alpha:132
Round:223; max power:6801.65; sample size:152; Alpha:265
Round:224; max power:6595.23; sample size:152; Alpha:267
Round:225; max power:6330.34; sample size:152; Alpha:153
Round:226; max power:6162.81; sample size:152; Alpha:163
Round:227; max power:5955.72; sample size:152; Alpha:111
Round:228; max power:5813.77; sample size:152; Alpha:3
Round:229; max power:5651.58; sample size:152; Alpha:3
Round:230; max power:5517.14; sample size:152; Alpha:87
Round:231; max power:5227.3; sample size:152; Alpha:6
Round:232; max power:5069.59; sample size:152; Alpha:175
Round:233; max power:5143.84; sample size:152; Alpha:42
Round:234; max power:5208.01; sample size:152; Alpha:49
Round:235; max power:5258.07; sample size:152; Alpha:79
Round:236; max power:5296.07; sample size:152; Alpha:5
Round:237; max power:5332.47; sample size:152; Alpha:134
Round:238; max power:5532.16; sample size:152; Alpha:5
Round:239; max power:5729.27; sample size:152; Alpha:112
Round:240; max power:5951.79; sample size:152; Alpha:29
Round:241; max power:6173.64; sample size:152; Alpha:198
Round:242; max power:6372.42; sample size:152; Alpha:15
